Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
21378,10-06-2022 19:00,06-09-2022 17:00,09-06-2022 23:49,Meerut,493,IDENTITY THEFT,19,X,Knife,Violent Crime,1,Yes,28-06-2022 19:00
21379,09-06-2022 22:00,06-09-2022 18:00,10-06-2022 10:21,Lucknow,264,FIREARM OFFENSE,41,M,None,Fire Accident,19,Yes,02-09-2022 22:00
21380,10-06-2022 02:00,06-09-2022 19:00,09-06-2022 23:33,Mumbai,219,IDENTITY THEFT,41,X,Blunt Object,Violent Crime,18,Yes,23-08-2022 02:00
21381,11-06-2022 01:00,06-09-2022 20:00,10-06-2022 00:26,Patna,136,DOMESTIC VIOLENCE,79,X,Explosives,Violent Crime,17,No,
21382,10-06-2022 00:00,06-09-2022 21:00,10-06-2022 13:20,Chennai,122,ILLEGAL POSSESSION,63,X,Blunt Object,Other Crime,7,Yes,18-07-2022 00:00
21383,10-06-2022 19:00,06-09-2022 22:00,09-06-2022 23:27,Agra,110,TRAFFIC VIOLATION,28,X,None,Traffic Fatality,5,No,
21384,12-06-2022 16:00,06-09-2022 23:00,10-06-2022 15:03,Kolkata,323,SEXUAL ASSAULT,34,X,Firearm,Violent Crime,1,No,
21385,11-06-2022 04:00,06-10-2022 00:00,10-06-2022 01:32,Lucknow,254,ROBBERY,50,X,Poison,Violent Crime,13,Yes,22-10-2022 04:00
21386,11-06-2022 12:00,06-10-2022 01:00,10-06-2022 06:06,Delhi,130,DRUG OFFENSE,49,F,Firearm,Other Crime,17,Yes,18-08-2022 12:00
21387,12-06-2022 18:00,06-10-2022 02:00,10-06-2022 23:24,Bangalore,108,FIREARM OFFENSE,69,X,None,Fire Accident,8,No,
21388,12-06-2022 14:00,06-10-2022 03:00,10-06-2022 09:38,Hyderabad,280,ASSAULT,14,F,Explosives,Violent Crime,6,No,
21389,12-06-2022 06:00,06-10-2022 04:00,10-06-2022 21:32,Ahmedabad,240,ASSAULT,40,X,Knife,Violent Crime,9,Yes,29-08-2022 06:00
21390,12-06-2022 13:00,06-10-2022 05:00,10-06-2022 06:12,Delhi,320,KIDNAPPING,32,X,Knife,Other Crime,3,No,
21391,12-06-2022 06:00,06-10-2022 06:00,10-06-2022 15:12,Delhi,412,HOMICIDE,34,X,Poison,Other Crime,6,Yes,06-07-2023 06:00
21392,12-06-2022 05:00,06-10-2022 07:00,11-06-2022 01:06,Kalyan,136,DOMESTIC VIOLENCE,46,F,Blunt Object,Violent Crime,1,No,
21393,12-06-2022 01:00,06-10-2022 08:00,10-06-2022 16:04,Mumbai,140,ROBBERY,47,F,Firearm,Violent Crime,15,Yes,03-12-2022 01:00
21394,12-06-2022 06:00,06-10-2022 09:00,11-06-2022 08:12,Mumbai,599,SHOPLIFTING,41,F,Poison,Other Crime,1,Yes,12-08-2022 06:00
21395,10-06-2022 19:00,06-10-2022 10:00,11-06-2022 04:46,Hyderabad,211,CYBERCRIME,62,F,Blunt Object,Other Crime,3,Yes,17-08-2022 19:00
21396,11-06-2022 15:00,06-10-2022 11:00,11-06-2022 00:06,Jaipur,323,VEHICLE - STOLEN,63,F,Firearm,Violent Crime,7,Yes,02-08-2022 15:00
21397,10-06-2022 16:00,06-10-2022 12:00,10-06-2022 13:40,Delhi,597,EXTORTION,62,M,Poison,Other Crime,17,Yes,29-06-2022 16:00
21398,10-06-2022 18:00,06-10-2022 13:00,11-06-2022 04:56,Agra,536,ILLEGAL POSSESSION,48,F,Poison,Other Crime,18,Yes,03-08-2022 18:00
21399,10-06-2022 19:00,06-10-2022 14:00,10-06-2022 18:35,Kolkata,411,EXTORTION,50,F,Other,Other Crime,17,Yes,10-08-2022 19:00
21400,12-06-2022 22:00,06-10-2022 15:00,11-06-2022 06:05,Patna,212,ARSON,78,M,Blunt Object,Fire Accident,7,No,
21401,11-06-2022 00:00,06-10-2022 16:00,11-06-2022 03:13,Pune,382,CYBERCRIME,26,M,Other,Other Crime,2,Yes,22-08-2022 00:00
21402,12-06-2022 04:00,06-10-2022 17:00,11-06-2022 15:15,Surat,549,FIREARM OFFENSE,79,X,Poison,Fire Accident,13,No,
21403,12-06-2022 13:00,06-10-2022 18:00,11-06-2022 04:26,Delhi,383,VANDALISM,42,X,Explosives,Other Crime,5,No,
21404,11-06-2022 09:00,06-10-2022 19:00,11-06-2022 03:32,Mumbai,232,BURGLARY,50,X,Knife,Other Crime,4,Yes,13-11-2022 09:00
21405,12-06-2022 09:00,06-10-2022 20:00,11-06-2022 15:39,Hyderabad,167,COUNTERFEITING,21,F,Other,Other Crime,3,No,
21406,13-06-2022 04:00,06-10-2022 21:00,10-06-2022 23:43,Mumbai,387,DOMESTIC VIOLENCE,19,M,Firearm,Violent Crime,16,No,
21407,11-06-2022 10:00,06-10-2022 22:00,11-06-2022 17:04,Ahmedabad,284,CYBERCRIME,68,X,Knife,Other Crime,11,No,
21408,13-06-2022 17:00,06-10-2022 23:00,11-06-2022 09:39,Faridabad,503,DRUG OFFENSE,58,M,Firearm,Other Crime,2,No,
21409,12-06-2022 10:00,06-11-2022 00:00,11-06-2022 14:34,Delhi,555,VANDALISM,14,F,Other,Other Crime,4,Yes,23-06-2022 10:00
21410,13-06-2022 16:00,06-11-2022 01:00,11-06-2022 07:04,Nagpur,574,SEXUAL ASSAULT,34,X,Other,Violent Crime,1,No,
21411,12-06-2022 14:00,06-11-2022 02:00,11-06-2022 06:09,Mumbai,501,ROBBERY,57,F,Knife,Violent Crime,8,No,
21412,12-06-2022 05:00,06-11-2022 03:00,11-06-2022 09:49,Kanpur,120,PUBLIC INTOXICATION,15,M,Knife,Other Crime,16,Yes,30-06-2022 05:00
21413,13-06-2022 18:00,06-11-2022 04:00,12-06-2022 02:35,Pune,168,DOMESTIC VIOLENCE,20,X,Blunt Object,Violent Crime,14,Yes,02-07-2022 18:00
21414,13-06-2022 06:00,06-11-2022 05:00,11-06-2022 21:27,Pune,580,TRAFFIC VIOLATION,26,X,Other,Traffic Fatality,8,No,
21415,13-06-2022 17:00,06-11-2022 06:00,11-06-2022 07:54,Jaipur,105,VANDALISM,61,F,Knife,Other Crime,3,No,
21416,12-06-2022 20:00,06-11-2022 07:00,11-06-2022 07:01,Vasai,158,SHOPLIFTING,60,F,Poison,Other Crime,8,Yes,11-07-2022 20:00
21417,14-06-2022 04:00,06-11-2022 08:00,11-06-2022 23:01,Delhi,223,SEXUAL ASSAULT,60,F,Other,Violent Crime,17,Yes,01-03-2024 04:00
21418,13-06-2022 11:00,06-11-2022 09:00,11-06-2022 20:33,Jaipur,406,TRAFFIC VIOLATION,71,M,Knife,Traffic Fatality,11,No,
21419,13-06-2022 23:00,06-11-2022 10:00,11-06-2022 23:57,Mumbai,135,BURGLARY,27,F,Blunt Object,Other Crime,11,Yes,30-08-2022 23:00
21420,13-06-2022 01:00,06-11-2022 11:00,11-06-2022 15:52,Jaipur,266,TRAFFIC VIOLATION,53,X,Blunt Object,Traffic Fatality,8,Yes,01-07-2022 01:00
21421,12-06-2022 07:00,06-11-2022 12:00,11-06-2022 13:46,Pune,503,ARSON,21,M,Explosives,Fire Accident,18,Yes,14-07-2022 07:00
21422,13-06-2022 07:00,06-11-2022 13:00,11-06-2022 13:31,Mumbai,301,CYBERCRIME,33,M,Knife,Other Crime,6,No,
21423,14-06-2022 09:00,06-11-2022 14:00,11-06-2022 16:13,Delhi,588,BURGLARY,14,F,Knife,Other Crime,15,No,
21424,13-06-2022 23:00,06-11-2022 15:00,11-06-2022 16:22,Surat,163,DRUG OFFENSE,23,X,Firearm,Other Crime,11,Yes,03-07-2022 23:00
21425,12-06-2022 14:00,06-11-2022 16:00,12-06-2022 03:45,Ahmedabad,113,ROBBERY,67,M,Blunt Object,Violent Crime,6,No,
21426,13-06-2022 02:00,06-11-2022 17:00,12-06-2022 15:43,Chennai,323,VANDALISM,21,M,Poison,Other Crime,17,Yes,14-07-2022 02:00
21427,12-06-2022 07:00,06-11-2022 18:00,12-06-2022 02:39,Bangalore,429,ILLEGAL POSSESSION,57,M,Poison,Other Crime,16,Yes,08-07-2022 07:00
21428,14-06-2022 10:00,06-11-2022 19:00,11-06-2022 19:21,Kolkata,232,IDENTITY THEFT,53,M,Explosives,Violent Crime,10,No,
21429,14-06-2022 05:00,06-11-2022 20:00,12-06-2022 15:17,Varanasi,359,SHOPLIFTING,11,F,Poison,Other Crime,11,Yes,21-06-2022 05:00
21430,13-06-2022 17:00,06-11-2022 21:00,12-06-2022 16:57,Vasai,369,VANDALISM,67,F,Poison,Other Crime,6,No,
21431,14-06-2022 02:00,06-11-2022 22:00,12-06-2022 19:32,Mumbai,375,ASSAULT,54,X,Poison,Violent Crime,3,No,
21432,13-06-2022 01:00,06-11-2022 23:00,12-06-2022 19:44,Ludhiana,374,CYBERCRIME,14,F,Explosives,Other Crime,15,No,
21433,12-06-2022 22:00,06-12-2022 00:00,12-06-2022 18:48,Visakhapatnam,225,VEHICLE - STOLEN,32,X,None,Violent Crime,2,No,
21434,14-06-2022 01:00,06-12-2022 01:00,12-06-2022 09:06,Chennai,381,CYBERCRIME,41,F,Blunt Object,Other Crime,5,Yes,01-07-2022 01:00
21435,14-06-2022 09:00,06-12-2022 02:00,12-06-2022 23:54,Mumbai,424,DRUG OFFENSE,41,M,Blunt Object,Other Crime,1,No,
21436,13-06-2022 20:00,06-12-2022 03:00,12-06-2022 05:38,Chennai,462,FIREARM OFFENSE,23,F,Other,Fire Accident,13,Yes,01-08-2022 20:00
21437,14-06-2022 18:00,06-12-2022 04:00,12-06-2022 19:33,Bangalore,239,VEHICLE - STOLEN,78,X,Explosives,Violent Crime,11,No,
21438,12-06-2022 08:00,06-12-2022 05:00,12-06-2022 17:00,Jaipur,441,DRUG OFFENSE,69,F,Knife,Other Crime,5,No,
21439,14-06-2022 23:00,06-12-2022 06:00,13-06-2022 00:28,Thane,208,KIDNAPPING,30,F,Other,Other Crime,6,Yes,15-07-2022 23:00
21440,13-06-2022 14:00,06-12-2022 07:00,12-06-2022 17:52,Faridabad,329,FIREARM OFFENSE,60,F,Explosives,Fire Accident,16,Yes,09-08-2022 14:00
21441,14-06-2022 19:00,06-12-2022 08:00,12-06-2022 13:53,Bangalore,510,COUNTERFEITING,54,X,Explosives,Other Crime,7,No,
21442,12-06-2022 10:00,06-12-2022 09:00,13-06-2022 01:03,Meerut,109,TRAFFIC VIOLATION,20,X,Firearm,Traffic Fatality,1,Yes,10-07-2022 10:00
21443,12-06-2022 13:00,06-12-2022 10:00,12-06-2022 21:41,Bangalore,429,FRAUD,75,M,Poison,Other Crime,12,No,
21444,15-06-2022 09:00,06-12-2022 11:00,13-06-2022 07:20,Bangalore,183,BURGLARY,23,F,Poison,Other Crime,1,Yes,04-12-2022 09:00
21445,13-06-2022 18:00,06-12-2022 12:00,12-06-2022 20:14,Surat,119,TRAFFIC VIOLATION,54,F,None,Traffic Fatality,2,Yes,16-06-2022 18:00
21446,15-06-2022 01:00,06-12-2022 13:00,13-06-2022 07:33,Bangalore,389,ARSON,33,X,Blunt Object,Fire Accident,7,No,
21447,14-06-2022 10:00,06-12-2022 14:00,13-06-2022 08:41,Faridabad,564,SEXUAL ASSAULT,74,M,Poison,Violent Crime,9,No,
21448,15-06-2022 05:00,06-12-2022 15:00,13-06-2022 07:24,Mumbai,414,DOMESTIC VIOLENCE,51,M,Explosives,Violent Crime,5,Yes,23-08-2022 05:00
21449,12-06-2022 18:00,06-12-2022 16:00,12-06-2022 23:50,Pune,336,VEHICLE - STOLEN,22,X,Blunt Object,Violent Crime,13,No,
21450,15-06-2022 08:00,06-12-2022 17:00,13-06-2022 04:11,Pune,275,DOMESTIC VIOLENCE,27,X,Other,Violent Crime,7,No,
21451,13-06-2022 14:00,06-12-2022 18:00,13-06-2022 04:39,Nagpur,461,ARSON,70,X,Explosives,Fire Accident,16,No,
21452,14-06-2022 05:00,06-12-2022 19:00,13-06-2022 18:04,Kolkata,229,ARSON,43,M,Poison,Fire Accident,19,Yes,09-07-2022 05:00
21453,12-06-2022 23:00,06-12-2022 20:00,12-06-2022 23:36,Chennai,153,ROBBERY,42,M,Other,Violent Crime,6,Yes,15-07-2022 23:00
21454,13-06-2022 15:00,06-12-2022 21:00,13-06-2022 10:27,Rajkot,556,HOMICIDE,34,F,None,Other Crime,9,No,
21455,14-06-2022 16:00,06-12-2022 22:00,13-06-2022 07:06,Srinagar,208,TRAFFIC VIOLATION,36,X,Other,Traffic Fatality,7,No,
21456,14-06-2022 20:00,06-12-2022 23:00,13-06-2022 18:41,Ahmedabad,197,DOMESTIC VIOLENCE,19,X,Explosives,Violent Crime,12,Yes,29-06-2022 20:00
21457,15-06-2022 06:00,06-13-2022 00:00,13-06-2022 20:39,Delhi,308,ILLEGAL POSSESSION,13,F,Explosives,Other Crime,5,Yes,20-07-2022 06:00
21458,15-06-2022 10:00,06-13-2022 01:00,13-06-2022 02:43,Mumbai,461,DOMESTIC VIOLENCE,44,M,Explosives,Violent Crime,19,Yes,04-07-2022 10:00
21459,13-06-2022 14:00,06-13-2022 02:00,13-06-2022 23:56,Kanpur,325,KIDNAPPING,34,M,None,Other Crime,12,Yes,17-08-2022 14:00
21460,13-06-2022 18:00,06-13-2022 03:00,13-06-2022 07:23,Hyderabad,339,SHOPLIFTING,75,M,Knife,Other Crime,2,No,
21461,14-06-2022 00:00,06-13-2022 04:00,14-06-2022 00:05,Mumbai,165,PUBLIC INTOXICATION,76,X,Poison,Other Crime,10,Yes,03-07-2022 00:00
21462,15-06-2022 10:00,06-13-2022 05:00,13-06-2022 06:40,Pune,177,IDENTITY THEFT,53,X,Poison,Violent Crime,5,Yes,06-07-2022 10:00
21463,13-06-2022 21:00,06-13-2022 06:00,13-06-2022 08:46,Nagpur,182,FIREARM OFFENSE,61,F,Explosives,Fire Accident,3,Yes,20-07-2022 21:00
21464,14-06-2022 05:00,06-13-2022 07:00,13-06-2022 12:46,Kolkata,109,PUBLIC INTOXICATION,43,M,Blunt Object,Other Crime,18,No,
21465,14-06-2022 00:00,06-13-2022 08:00,13-06-2022 11:22,Pune,539,HOMICIDE,43,X,None,Other Crime,9,No,
21466,15-06-2022 09:00,06-13-2022 09:00,14-06-2022 05:46,Delhi,432,FRAUD,44,F,Other,Other Crime,16,Yes,16-07-2022 09:00
21467,15-06-2022 08:00,06-13-2022 10:00,14-06-2022 00:54,Kolkata,467,DOMESTIC VIOLENCE,20,F,None,Violent Crime,10,No,
21468,15-06-2022 07:00,06-13-2022 11:00,13-06-2022 13:13,Delhi,304,ARSON,45,M,Knife,Fire Accident,5,Yes,31-07-2022 07:00
21469,16-06-2022 05:00,06-13-2022 12:00,14-06-2022 08:01,Chennai,397,COUNTERFEITING,62,F,Explosives,Other Crime,10,No,
21470,15-06-2022 20:00,06-13-2022 13:00,14-06-2022 06:21,Chennai,316,FRAUD,51,X,None,Other Crime,2,No,
21471,15-06-2022 22:00,06-13-2022 14:00,14-06-2022 13:38,Indore,336,CYBERCRIME,60,F,Poison,Other Crime,3,No,
21472,14-06-2022 14:00,06-13-2022 15:00,13-06-2022 21:10,Mumbai,363,ROBBERY,48,F,None,Violent Crime,19,No,
21473,16-06-2022 11:00,06-13-2022 16:00,14-06-2022 00:27,Mumbai,317,PUBLIC INTOXICATION,43,M,Other,Other Crime,1,Yes,21-06-2022 11:00
21474,14-06-2022 12:00,06-13-2022 17:00,14-06-2022 15:57,Chennai,261,HOMICIDE,63,M,Blunt Object,Other Crime,13,No,
21475,16-06-2022 08:00,06-13-2022 18:00,14-06-2022 14:56,Delhi,257,DOMESTIC VIOLENCE,77,F,Knife,Violent Crime,2,Yes,15-08-2022 08:00
21476,16-06-2022 12:00,06-13-2022 19:00,14-06-2022 06:41,Kolkata,508,FRAUD,58,F,None,Other Crime,1,Yes,01-07-2022 12:00
21477,14-06-2022 12:00,06-13-2022 20:00,14-06-2022 10:42,Hyderabad,479,CYBERCRIME,55,F,Poison,Other Crime,12,No,
21478,14-06-2022 10:00,06-13-2022 21:00,13-06-2022 23:43,Mumbai,362,DRUG OFFENSE,65,F,Poison,Other Crime,17,No,
21479,15-06-2022 15:00,06-13-2022 22:00,14-06-2022 18:27,Lucknow,233,SHOPLIFTING,13,X,None,Other Crime,11,Yes,06-07-2022 15:00
21480,16-06-2022 16:00,06-13-2022 23:00,14-06-2022 21:05,Ahmedabad,473,KIDNAPPING,66,M,Blunt Object,Other Crime,18,No,
21481,14-06-2022 03:00,06-14-2022 00:00,14-06-2022 15:11,Ludhiana,135,SEXUAL ASSAULT,17,F,Knife,Violent Crime,17,No,
21482,15-06-2022 23:00,06-14-2022 01:00,15-06-2022 00:52,Kolkata,552,PUBLIC INTOXICATION,10,M,Knife,Other Crime,16,Yes,25-06-2022 23:00
21483,15-06-2022 00:00,06-14-2022 02:00,14-06-2022 19:47,Delhi,515,TRAFFIC VIOLATION,65,M,Firearm,Traffic Fatality,10,Yes,05-07-2022 00:00
21484,16-06-2022 02:00,06-14-2022 03:00,14-06-2022 03:30,Mumbai,329,FIREARM OFFENSE,62,F,Firearm,Fire Accident,6,Yes,02-07-2022 02:00
21485,16-06-2022 14:00,06-14-2022 04:00,15-06-2022 03:24,Surat,100,ILLEGAL POSSESSION,47,M,Blunt Object,Other Crime,6,No,
21486,16-06-2022 23:00,06-14-2022 05:00,15-06-2022 04:56,Lucknow,121,VANDALISM,35,X,None,Other Crime,14,No,
21487,14-06-2022 08:00,06-14-2022 06:00,14-06-2022 20:08,Delhi,192,SEXUAL ASSAULT,53,X,Explosives,Violent Crime,17,No,
21488,15-06-2022 23:00,06-14-2022 07:00,14-06-2022 17:57,Delhi,219,IDENTITY THEFT,77,M,Explosives,Violent Crime,18,No,
21489,16-06-2022 20:00,06-14-2022 08:00,14-06-2022 15:43,Bangalore,367,DRUG OFFENSE,60,M,Blunt Object,Other Crime,19,Yes,13-08-2022 20:00
21490,16-06-2022 02:00,06-14-2022 09:00,14-06-2022 09:23,Kalyan,498,KIDNAPPING,57,X,Other,Other Crime,1,No,
21491,15-06-2022 22:00,06-14-2022 10:00,15-06-2022 00:27,Ahmedabad,342,SHOPLIFTING,13,F,Other,Other Crime,14,Yes,17-08-2022 22:00
21492,14-06-2022 17:00,06-14-2022 11:00,14-06-2022 13:18,Nashik,275,FIREARM OFFENSE,18,X,Blunt Object,Fire Accident,10,Yes,08-07-2022 17:00
21493,16-06-2022 00:00,06-14-2022 12:00,15-06-2022 06:22,Delhi,599,COUNTERFEITING,72,X,Firearm,Other Crime,9,Yes,09-07-2022 00:00
21494,15-06-2022 11:00,06-14-2022 13:00,15-06-2022 09:36,Mumbai,556,KIDNAPPING,58,X,None,Other Crime,14,No,
21495,15-06-2022 14:00,06-14-2022 14:00,15-06-2022 00:09,Jaipur,587,HOMICIDE,27,M,Firearm,Other Crime,4,No,
21496,17-06-2022 02:00,06-14-2022 15:00,15-06-2022 05:32,Chennai,532,EXTORTION,78,M,Other,Other Crime,9,Yes,25-06-2022 02:00
21497,16-06-2022 22:00,06-14-2022 16:00,15-06-2022 01:37,Hyderabad,494,FRAUD,52,M,Poison,Other Crime,1,No,
21498,17-06-2022 16:00,06-14-2022 17:00,15-06-2022 09:43,Bangalore,594,DRUG OFFENSE,65,F,Poison,Other Crime,12,No,
21499,17-06-2022 06:00,06-14-2022 18:00,15-06-2022 11:13,Mumbai,221,SEXUAL ASSAULT,72,X,None,Violent Crime,3,Yes,25-12-2023 06:00
21500,17-06-2022 13:00,06-14-2022 19:00,15-06-2022 00:36,Srinagar,214,IDENTITY THEFT,13,X,Poison,Violent Crime,1,No,
21501,15-06-2022 04:00,06-14-2022 20:00,15-06-2022 07:35,Ahmedabad,150,ASSAULT,16,F,Explosives,Violent Crime,5,No,
21502,16-06-2022 03:00,06-14-2022 21:00,15-06-2022 13:51,Delhi,406,ASSAULT,34,F,Poison,Violent Crime,15,No,
21503,17-06-2022 05:00,06-14-2022 22:00,15-06-2022 04:49,Ahmedabad,360,EXTORTION,45,F,Other,Other Crime,10,No,
21504,16-06-2022 02:00,06-14-2022 23:00,15-06-2022 12:38,Pune,263,EXTORTION,41,F,Poison,Other Crime,2,Yes,25-07-2022 02:00
21505,17-06-2022 03:00,06-15-2022 00:00,15-06-2022 23:33,Kanpur,491,ASSAULT,16,M,Knife,Violent Crime,16,Yes,09-09-2022 03:00
21506,17-06-2022 08:00,06-15-2022 01:00,15-06-2022 02:24,Delhi,138,ASSAULT,73,F,Explosives,Violent Crime,6,No,
21507,17-06-2022 20:00,06-15-2022 02:00,15-06-2022 05:50,Ludhiana,502,DRUG OFFENSE,49,X,Knife,Other Crime,17,Yes,08-09-2022 20:00
21508,17-06-2022 21:00,06-15-2022 03:00,15-06-2022 19:32,Ahmedabad,457,CYBERCRIME,44,X,Knife,Other Crime,8,Yes,24-07-2022 21:00
21509,17-06-2022 19:00,06-15-2022 04:00,15-06-2022 14:42,Ludhiana,500,ARSON,42,M,Firearm,Fire Accident,12,No,
21510,17-06-2022 23:00,06-15-2022 05:00,15-06-2022 22:39,Thane,437,FRAUD,38,M,Blunt Object,Other Crime,6,Yes,07-09-2022 23:00
21511,16-06-2022 01:00,06-15-2022 06:00,15-06-2022 12:58,Kanpur,557,ASSAULT,25,F,None,Violent Crime,5,No,
21512,18-06-2022 01:00,06-15-2022 07:00,15-06-2022 21:20,Agra,197,SEXUAL ASSAULT,17,X,Other,Violent Crime,8,Yes,11-12-2023 01:00
21513,15-06-2022 20:00,06-15-2022 08:00,15-06-2022 08:42,Ludhiana,343,FIREARM OFFENSE,61,M,Blunt Object,Fire Accident,3,Yes,09-09-2022 20:00
21514,16-06-2022 02:00,06-15-2022 09:00,15-06-2022 19:50,Bangalore,281,ASSAULT,69,F,Blunt Object,Violent Crime,5,Yes,15-08-2022 02:00
21515,15-06-2022 12:00,06-15-2022 10:00,16-06-2022 08:27,Bangalore,229,ASSAULT,44,X,Blunt Object,Violent Crime,17,Yes,30-06-2022 12:00
21516,15-06-2022 20:00,06-15-2022 11:00,16-06-2022 03:48,Surat,262,VEHICLE - STOLEN,22,M,Poison,Violent Crime,10,No,
21517,15-06-2022 19:00,06-15-2022 12:00,15-06-2022 17:22,Thane,447,BURGLARY,36,M,Blunt Object,Other Crime,18,Yes,27-10-2022 19:00
21518,16-06-2022 08:00,06-15-2022 13:00,16-06-2022 10:13,Chennai,147,TRAFFIC VIOLATION,11,M,Explosives,Traffic Fatality,18,No,
21519,16-06-2022 17:00,06-15-2022 14:00,16-06-2022 01:01,Thane,199,CYBERCRIME,11,X,Explosives,Other Crime,3,Yes,26-06-2022 17:00
21520,16-06-2022 19:00,06-15-2022 15:00,16-06-2022 08:39,Hyderabad,272,CYBERCRIME,64,F,Explosives,Other Crime,4,Yes,23-06-2022 19:00
21521,16-06-2022 19:00,06-15-2022 16:00,16-06-2022 04:05,Chennai,465,VEHICLE - STOLEN,30,M,Blunt Object,Violent Crime,6,No,
21522,16-06-2022 01:00,06-15-2022 17:00,15-06-2022 20:17,Pune,547,EXTORTION,68,F,Other,Other Crime,10,No,
21523,17-06-2022 08:00,06-15-2022 18:00,16-06-2022 05:53,Delhi,158,VANDALISM,78,X,Knife,Other Crime,14,No,
21524,17-06-2022 11:00,06-15-2022 19:00,16-06-2022 02:27,Hyderabad,594,ASSAULT,21,M,Other,Violent Crime,8,Yes,02-07-2022 11:00
21525,18-06-2022 01:00,06-15-2022 20:00,16-06-2022 10:30,Pune,216,ILLEGAL POSSESSION,48,F,Other,Other Crime,10,No,
21526,17-06-2022 18:00,06-15-2022 21:00,16-06-2022 20:56,Bangalore,344,EXTORTION,35,M,Firearm,Other Crime,4,No,
21527,16-06-2022 12:00,06-15-2022 22:00,16-06-2022 08:32,Meerut,512,SEXUAL ASSAULT,22,M,Other,Violent Crime,16,No,
21528,17-06-2022 20:00,06-15-2022 23:00,16-06-2022 15:28,Mumbai,598,ILLEGAL POSSESSION,30,F,Poison,Other Crime,5,Yes,28-08-2022 20:00
21529,18-06-2022 22:00,06-16-2022 00:00,16-06-2022 15:30,Nagpur,459,ASSAULT,66,X,None,Violent Crime,7,Yes,15-08-2022 22:00
21530,18-06-2022 17:00,06-16-2022 01:00,16-06-2022 07:40,Pune,547,ARSON,79,F,Explosives,Fire Accident,1,No,
21531,16-06-2022 09:00,06-16-2022 02:00,16-06-2022 19:19,Kolkata,320,COUNTERFEITING,63,F,Explosives,Other Crime,13,Yes,16-07-2022 09:00
21532,18-06-2022 14:00,06-16-2022 03:00,16-06-2022 03:32,Patna,359,TRAFFIC VIOLATION,23,F,Explosives,Traffic Fatality,12,Yes,19-06-2022 14:00
21533,17-06-2022 07:00,06-16-2022 04:00,17-06-2022 00:01,Bangalore,438,SHOPLIFTING,65,X,Poison,Other Crime,15,No,
21534,16-06-2022 12:00,06-16-2022 05:00,16-06-2022 13:53,Surat,566,VEHICLE - STOLEN,35,M,Firearm,Violent Crime,1,Yes,29-06-2022 12:00
21535,17-06-2022 18:00,06-16-2022 06:00,16-06-2022 08:50,Hyderabad,300,IDENTITY THEFT,32,X,Other,Violent Crime,18,No,
21536,19-06-2022 01:00,06-16-2022 07:00,17-06-2022 03:46,Mumbai,222,FRAUD,49,X,Explosives,Other Crime,2,Yes,15-09-2022 01:00
21537,17-06-2022 09:00,06-16-2022 08:00,17-06-2022 07:35,Thane,134,ROBBERY,17,X,Poison,Violent Crime,1,No,
21538,16-06-2022 17:00,06-16-2022 09:00,16-06-2022 22:18,Bangalore,444,CYBERCRIME,28,F,Knife,Other Crime,10,No,
21539,18-06-2022 20:00,06-16-2022 10:00,16-06-2022 17:51,Bangalore,388,VEHICLE - STOLEN,34,F,None,Violent Crime,7,Yes,30-06-2022 20:00
21540,16-06-2022 21:00,06-16-2022 11:00,16-06-2022 11:16,Kalyan,527,CYBERCRIME,69,F,Explosives,Other Crime,5,No,
21541,16-06-2022 18:00,06-16-2022 12:00,16-06-2022 12:14,Delhi,276,PUBLIC INTOXICATION,34,F,Other,Other Crime,8,No,
21542,18-06-2022 21:00,06-16-2022 13:00,17-06-2022 05:08,Ahmedabad,495,SHOPLIFTING,52,M,Knife,Other Crime,9,Yes,30-06-2022 21:00
21543,18-06-2022 03:00,06-16-2022 14:00,17-06-2022 06:58,Ahmedabad,197,ROBBERY,12,F,Poison,Violent Crime,12,Yes,29-10-2022 03:00
21544,17-06-2022 04:00,06-16-2022 15:00,16-06-2022 19:08,Kanpur,344,VEHICLE - STOLEN,11,F,Knife,Violent Crime,4,No,
21545,17-06-2022 05:00,06-16-2022 16:00,17-06-2022 13:48,Chennai,230,BURGLARY,35,F,Explosives,Other Crime,8,Yes,03-09-2022 05:00
21546,16-06-2022 22:00,06-16-2022 17:00,17-06-2022 12:28,Mumbai,139,SEXUAL ASSAULT,32,M,None,Violent Crime,18,No,
21547,16-06-2022 19:00,06-16-2022 18:00,16-06-2022 19:20,Lucknow,565,PUBLIC INTOXICATION,41,X,Knife,Other Crime,17,Yes,30-06-2022 19:00
21548,17-06-2022 17:00,06-16-2022 19:00,16-06-2022 22:02,Chennai,196,SEXUAL ASSAULT,70,X,Poison,Violent Crime,15,No,
21549,17-06-2022 00:00,06-16-2022 20:00,17-06-2022 08:46,Faridabad,165,FIREARM OFFENSE,19,F,Knife,Fire Accident,13,No,
21550,19-06-2022 10:00,06-16-2022 21:00,17-06-2022 07:54,Kalyan,116,HOMICIDE,42,F,Poison,Other Crime,6,Yes,12-04-2024 10:00
21551,17-06-2022 21:00,06-16-2022 22:00,17-06-2022 20:01,Bangalore,306,FRAUD,32,M,Blunt Object,Other Crime,17,Yes,03-08-2022 21:00
